name,COMMON,gal1RGexp,gal1RGsig,gal4RGexp,gal4RGsig,gal80Rexp,gal80Rsig
YFR037C,RSC8,0.297,1.51E-06,-0.226,0.013849,0.35,0.0035541
YFR034C,PHO4,0.121,0.099513,-0.336,6.97E-04,0.348,0.020802
YAL040C,CLN3,-0.027,0.66515,-0.206,0.0017369,0.303,0.0010074
YPL222W,YPL222W,0.344,6.97E-07,0.284,1.37E-04,0.514,4.62E-05
YGR048W,UFD1,0.017,0.696,-0.155,0.028001,0.364,0.0043651
YMR291W,YMR291W,-0.363,7.98E-08,0.256,0.012617,-0.397,5.30E-09
YGR009C,SEC9,0.236,2.96E-05,-0.185,0.017416,0.302,4.41E-04
YMR183C,SSO2,-0.822,2.17E-11,0.256,0.0021146,-0.825,1.03E-16
YDR100W,YDR100W,-0.007,0.86711,0.275,1.32E-05,-0.415,5.79E-10
YGL161C,YGL161C,-0.07,0.053915,0.172,8.92E-04,-0.164,0.0065587
YPL131W,RPL5,-0.228,1.05E-05,-0.149,0.0049489,-0.246,1.48E-04
YDL063C,YDL063C,0.093,0.055312,-0.755,0.0023991,0.971,0.0013668
YNL167C,SKO1,0.095,0.024036,0.1,0.079913,-0.18,0.015501
YHR115C,YHR115C,0.056,0.143,0.044,0.33678,0.138,0.079261
YEL041W,YEL041W,0.211,4.78E-04,0.393,3.20E-07,-0.265,0.035715
YDL113C,YDL113C,0.189,9.94E-05,0.011,0.8523,0.304,0.0063436
YJL036W,SNX4,0.195,1.35E-04,-0.051,0.36812,0.376,9.77E-04
YBR109C,CMD1,-0.089,0.024989,0.074,0.13694,-0.163,0.0092082
YOL016C,CMK2,-0.365,6.85E-07,-0.108,0.024371,-0.138,0.027128
YKL001C,MET14,-0.152,0.0020562,-0.474,2.75E-06,0.683,2.71E-07
YNL311C,YNL311C,-0.055,0.3444,-0.388,0.0089606,-0.169,0.12031
YLR319C,BUD6,0.071,0.18355,-0.201,0.0039398,0.21,0.072655
YPR062W,FCY1,-0.07,0.066907,-0.145,0.006637,-0.071,0.26496
YPL111W,CAR1,0.186,7.26E-04,-0.26,1.86E-04,0.957,5.24E-11
YDL236W,PHO13,-0.223,2.95E-04,-0.311,5.39E-05,-0.258,8.10E-04
YNL189W,SRP1,0.082,0.045195,0.014,0.79134,-0.573,1.41E-08
YBL069W,AST1,-0.272,1.94E-06,-0.487,7.00E-06,-0.026,0.87354
YGL073W,HSF1,0.104,0.034847,-0.084,0.42981,0.543,6.23E-04
YBR072W,HSP26,-1.232,1.31E-06,0.895,2.39E-05,-0.447,3.35E-11
YLR321C,SFH1,0.252,2.68E-05,-0.352,5.26E-04,0.427,0.0047054
YPR048W,TAH18,0.113,0.12893,-0.191,0.54556,0.289,0.063048
YNL199C,GCR2,0.121,0.005054,-0.162,0.0077746,0.433,5.65E-05
YPL075W,GCR1,-0.373,2.49E-07,-0.207,0.046834,-0.53,5.27E-06
YHR179W,OYE2,-0.565,2.64E-08,0.078,0.098356,-0.671,3.70E-11
YCL040W,GLK1,-0.146,0.0093643,0.542,1.05E-06,-0.221,2.06E-04
YFL039C,ACT1,-0.16,3.22E-04,0.192,1.31E-04,-0.527,6.06E-12
YDL130W,RPP1B,-0.3,1.05E-05,-0.123,0.01128,-0.24,2.14E-05
YDR382W,RPP2B,-0.218,1.43E-05,-0.058,0.18479,-0.314,1.42E-07
YJR066W,TOR1,-0.028,0.47775,0.326,2.53E-05,0.111,0.1951
YKL204W,YKL204W,0.253,6.49E-06,-0.002,0.9794,0.16,0.091109
YNL154C,YCK2,-0.013,0.76333,-0.066,0.21924,-0.438,2.36E-07
YNL047C,YNL047C,0.14,0.0026155,-0.078,0.19124,0.029,0.7773
YNL116W,YNL116W,0.165,2.68E-04,0.027,0.63152,0.358,2.77E-04
YHR135C,YCK1,0.082,0.037285,-0.049,0.23999,0.119,0.037227
YML064C,TEM1,-0.218,0.37089,-0.069,0.45319,0,0.999999
YKL074C,MUD2,0.002,0.96433,-0.294,2.85E-04,0.608,3.45E-04
YLR340W,RPP0,-0.259,5.00E-06,-0.148,0.0063648,-0.361,2.06E-07
YDL081C,RPP1A,-0.429,1.71E-05,-0.094,0.048133,-0.278,5.96E-06
YGL166W,CUP2,-0.073,0.33486,0.243,0.0012181,0.147,0.032147
YLL028W,TPO1,-0.189,1.72E-04,-0.101,0.27319,-0.24,0.0047822
YDR174W,HMO1,-0.314,5.16E-08,-0.083,0.10372,-0.356,3.47E-08
YDR335W,MSN5,0.028,0.8595,0.189,0.071598,0.272,0.2334
YLR214W,FRE1,0.518,4.68E-09,-0.279,0.0018109,0.282,0.039051
YMR021C,MAC1,0.022,0.6115,-0.032,0.59236,0.066,0.54119
YLR377C,FBP1,0.873,2.19E-10,1.067,5.89E-11,0.371,0.0037868
YER065C,ICL1,0.65,1.89E-10,0.591,4.85E-09,1.147,3.46E-08
YJL089W,SIP4,0.037,0.72688,0.169,0.55601,0.442,0.033306
YHR030C,SLT2,-0.227,1.35E-04,-0.24,2.73E-04,0.21,0.0033506
YPL089C,RLM1,-0.06,0.14513,-0.037,0.47601,0.209,0.0026491
YGL208W,SIP2,0.354,1.80E-06,0.406,1.11E-06,0.139,0.097498
YGL115W,SNF4,-0.111,0.0058541,0.112,0.011234,-0.221,0.0027535
YLR310C,CDC25,0.015,0.67137,-0.037,0.41028,-0.071,0.25519
YNL098C,RAS2,0.05,0.20515,0.062,0.23242,0.293,1.04E-04
YGR019W,UGA1,-0.163,0.0086582,0.234,0.0011998,-0.258,6.22E-05
YPR035W,GLN1,-0.197,2.39E-05,-1.06,2.93E-09,-0.172,0.036009
YER040W,GLN3,0.098,0.38375,-0.513,0.010321,0.537,0.0018683
YGL008C,PMA1,-0.352,1.00E-05,-0.282,7.14E-04,-0.573,1.26E-06
YOR036W,PEP12,0.071,0.092135,0.037,0.43055,0.491,1.63E-06
YDR323C,PEP7,0.164,0.10243,0,0.999999,0.052,0.69287
YBL005W,PDR3,0,0.64313,0,0.999999,0,0.999999
YBR160W,CDC28,-0.016,0.7432,-0.087,0.32105,-0.405,0.026081
YKL101W,HSL1,-0.01,0.96433,0.78,1.69E-09,0.439,0.0030233
YOL156W,HXT11,0.298,8.18E-06,0.462,5.19E-05,0.105,0.28091
YJL219W,HXT9,0.298,5.60E-06,0.592,1.69E-09,-0.162,0.097946
YLL021W,SPA2,-0.155,3.40E-04,0.05,0.23036,-0.036,0.62229
YOL136C,PFK27,-0.646,1.91E-08,-0.086,0.39614,-0.472,0.0081753
YJL203W,PRP21,0.083,0.13783,-0.46,6.54E-04,0.401,0.0046881
YNR007C,AUT1,0.078,0.061024,0.196,3.11E-04,0.161,0.10191
YFL026W,STE2,-0.653,1.36E-10,-0.396,4.17E-06,-0.74,2.88E-14
YJL157C,FAR1,-0.158,5.98E-04,-0.803,4.74E-08,0.972,6.37E-07
YNL145W,MFA2,-0.764,3.15E-11,-0.098,0.05338,-1.237,1.19E-10
YDR461W,MFA1,-0.659,2.47E-10,-0.147,0.011212,-0.526,5.52E-10
YGR108W,CLB1,-0.25,7.58E-07,-0.566,2.39E-07,0.101,0.1936
YKR097W,PCK1,1.289,7.09E-13,1.224,1.85E-10,0.123,0.13819
YJL159W,HSP150,-0.357,6.89E-08,0.111,0.041194,0.001,0.999999
YIL015W,BAR1,-0.622,7.10E-11,-0.207,0.0040782,-1.117,2.92E-11
YMR043W,MCM1,-0.183,0.0035372,-0.654,4.25E-06,0.457,2.41E-04
YKL109W,HAP4,0.084,0.045375,0.295,3.18E-06,-0.117,0.071395
YBR217W,APG12,0.088,0.143,-0.332,0.011008,0.378,0.012775
YHR171W,APG7,-0.134,0.030789,0.251,2.26E-04,0.034,0.7782
YPL149W,APG5,0.033,0.47027,0.116,0.043291,0.488,1.56E-05
YKL028W,TFA1,0.214,3.50E-05,-0.146,0.025221,0.337,4.99E-05
YDR311W,TFB1,0.098,0.056092,-0.043,0.60829,0.332,0.0087786
YBL021C,HAP3,0.073,0.18207,-0.256,0.015004,-0.108,0.497
YGL237C,HAP2,0.127,0.002588,0.05,0.22211,0.059,0.35299
YEL039C,CYC7,-0.319,2.88E-06,0.377,7.36E-07,-1.373,4.97E-07
YJR048W,CYC1,0.216,3.34E-05,0.14,0.005959,-0.643,1.61E-08
YML054C,CYB2,0.963,3.60E-11,0.856,1.39E-08,-0.091,0.25421
YLR256W,HAP1,0.011,0.79725,-0.087,0.063023,0.104,0.2243
YOR303W,CPA1,-0.127,0.002137,-0.089,0.15221,0.403,1.59E-04
YJR109C,CPA2,-0.323,1.29E-07,0,0.61381,-0.745,0.030981
YGR058W,YGR058W,0.045,0.44242,-0.16,0.10763,-0.065,0.6708
YLR229C,CDC42,-0.074,0.066961,0.089,0.031442,-0.154,0.030339
YDR309C,GIC2,-0.427,1.66E-08,-0.129,0.032663,-0.798,1.26E-13
YOR264W,YOR264W,0.493,1.94E-08,0.237,0.016862,0.307,0.011809
YLR116W,MSL5,0.015,0.74865,-0.03,0.60558,0.101,0.35769
YNL312W,RFA2,0.028,0.47284,-0.111,0.034589,-0.121,0.24786
YML032C,RAD52,0.199,3.39E-04,-0.136,0.033332,0.363,0.0030735
YKL012W,PRP40,0.21,4.27E-04,-0.277,3.54E-04,0.561,8.72E-05
YNL236W,SIN4,-0.146,0.018347,-0.218,0.053936,-0.141,0.39009
YNL091W,YNL091W,0.288,1.97E-06,0.154,0.026384,0.723,2.37E-04
YDR184C,ATC1,0.04,0.4641,-0.886,9.40E-07,0.404,0.10407
YIL143C,SSL2,0.124,0.019613,0.069,0.36733,0.264,0.045357
YKR099W,BAS1,0.466,6.12E-06,-0.936,7.65E-06,1.101,6.99E-04
YIR009W,MSL1,-0.044,0.74397,-0.337,0.19987,-0.049,0.89526
YBR018C,GAL7,0.153,7.89E-04,-1.995,3.63E-11,3.126,3.94E-17
YPL248C,GAL4,0.1,0.11614,-0.758,1.26E-04,-0.211,0.088214
YLR081W,GAL2,0.176,2.46E-04,-0.57,1.67E-07,0.892,7.34E-10
YBR020W,GAL1,-2.426,7.01E-09,-2.406,2.50E-09,2.939,2.81E-18
YGL035C,MIG1,0.345,1.10E-07,0.31,1.72E-06,-0.28,0.0070533
YOL051W,GAL11,0.171,0.001834,0.055,0.33923,0.111,0.30922
YBR019C,GAL10,0.061,0.098603,-1.993,3.32E-11,2.856,3.94E-18
YJR060W,CBF1,0.165,0.0013953,-0.306,0.0034755,0.103,0.43529
YDR103W,STE5,-0.068,0.34875,-0.121,0.42858,0.023,0.92304
YLR362W,STE11,0.144,0.023963,0.037,0.50139,0.374,0.0010869
YDR032C,YDR032C,0.113,0.026191,0.331,2.03E-06,-0.211,7.14E-04
YCL032W,STE50,0.126,0.003766,0.02,0.71364,0.284,0.015244
YLR109W,AHP1,-0.603,1.48E-09,0.466,2.57E-04,-0.486,2.34E-11
YHR141C,RPL42B,-0.359,7.74E-07,-0.371,2.52E-06,-0.139,0.012998
YMR138W,CIN4,0.414,0.037256,0,0.39944,0.221,0.12805
YMR300C,ADE4,-0.514,1.52E-09,-1.296,1.47E-08,1.202,4.77E-11
YOL058W,ARG1,-0.652,4.93E-06,-0.541,4.10E-07,-0.815,5.94E-10
YBR248C,HIS7,-0.258,2.32E-06,-1.252,1.65E-07,0.898,3.30E-05
YOR202W,HIS3,-0.432,0.010979,-0.71,1.80E-04,0.239,0.0054895
YMR108W,ILV2,0.04,0.27002,-0.358,9.43E-04,0.095,0.14717
YEL009C,GCN4,0.035,0.33125,0.032,0.41727,-0.031,0.55639
YBR155W,CNS1,0.082,0.10014,-0.479,1.60E-05,0.519,3.71E-04
YMR186W,HSC82,-0.032,0.52469,-0.032,0.4995,-0.608,1.68E-14
YGL106W,MLC1,-0.262,1.31E-05,-0.327,9.24E-06,-0.059,0.29618
YOR326W,MYO2,0.51,5.92E-09,0.432,8.24E-08,0.296,1.16E-04
YMR309C,NIP1,0.009,0.82076,-0.248,2.03E-04,-0.123,0.1009
YOR361C,PRT1,-0.02,0.60784,-0.085,0.11638,-0.237,0.0031451
YIL105C,YIL105C,0.196,6.98E-05,0.023,0.66796,0.197,0.016148
YLR134W,PDC5,-0.645,1.26E-11,0.027,0.58514,-0.351,1.21E-08
YER179W,DMC1,-0.219,1.18E-04,0.059,0.36733,-0.167,0.13801
YOR310C,NOP5,-0.073,0.055533,-0.499,1.73E-06,-0.157,0.041898
YDL014W,NOP1,-0.039,0.32352,-0.176,0.012945,-0.038,0.62955
YPR119W,CLB2,-0.234,3.92E-06,-0.279,6.26E-04,-0.342,1.64E-05
YLR117C,SYF3,0.326,7.62E-07,-0.234,0.0048407,0.712,6.89E-06
YGL013C,PDR1,0.185,1.96E-04,-0.152,0.013422,0.173,0.0945
YCR086W,YCR086W,-0.081,0.32121,-0.397,0.080473,0.381,0.17239
YDR412W,YDR412W,0.067,0.27226,-0.641,1.69E-05,0.991,2.47E-05
YPL201C,YPL201C,2.058,6.04E-10,1.18,8.92E-07,0.597,0.0043411
YER062C,HOR2,-0.486,3.73E-10,-0.942,1.21E-08,0.359,5.86E-06
YOR327C,SNC2,0.249,6.95E-06,-0.112,0.06928,0.559,4.48E-05
YER143W,DDI1,0.282,5.61E-06,0.255,8.68E-06,0.179,0.018361
YAL030W,SNC1,-0.05,0.18782,0.027,0.55374,0.003,0.95396
YOL086C,ADH1,-0.113,0.0039297,0.245,3.22E-04,-0.322,1.31E-05
YDR050C,TPI1,-0.584,3.65E-10,0.053,0.48903,-0.728,8.67E-12
YOL127W,RPL25,-0.192,4.48E-04,-0.425,9.24E-07,0.076,0.17224
YIL069C,RPS24B,-0.313,7.70E-06,-0.467,1.02E-06,-0.018,0.74944
YER074W,RPS24A,-0.262,1.85E-05,-0.449,2.12E-06,-0.051,0.44216
YBR093C,PHO5,-0.704,2.33E-07,0.075,0.088763,-0.543,3.62E-13
YDR171W,HSP42,-0.31,8.18E-07,0.3,8.70E-06,-0.723,1.43E-12
YCL030C,HIS4,-1.067,3.90E-11,-0.898,2.39E-07,0.29,0.0016438
YNL301C,RPL18B,-0.379,7.31E-07,-0.245,1.07E-04,-0.271,1.23E-05
YOL120C,RPL18A,-0.409,1.72E-07,-0.225,3.02E-04,-0.62,3.90E-09
YLR044C,PDC1,-0.62,6.95E-11,-0.071,0.23784,-0.184,0.0064407
YIL133C,RPL16A,-0.453,4.62E-08,-0.311,1.20E-04,-0.146,0.012589
YHR174W,ENO2,-0.816,7.18E-11,0.241,0.011477,-0.217,0.0015357
YGR254W,ENO1,-0.737,6.56E-11,0.259,0.0079977,-0.171,0.025056
YCR012W,PGK1,-0.668,7.31E-10,0.329,2.42E-05,-0.746,4.23E-13
YNL216W,RAP1,0.205,0.024692,0.015,0.93493,0.234,0.54155
YAL038W,CDC19,-0.652,1.32E-10,0.123,0.10377,-0.453,1.55E-07
YNL307C,MCK1,-0.046,0.27844,0.094,0.029538,-0.063,0.37572
YDL013W,HEX3,0.214,4.04E-05,0.073,0.22129,0.593,2.08E-05
YER116C,YER116C,0.029,0.56099,-0.11,0.18379,0.182,0.13915
YNR053C,YNR053C,0.352,2.13E-07,-0.238,0.0048783,-0.012,0.90581
YLR264W,RPS28B,-0.259,1.61E-04,-0.299,2.06E-04,-0.17,0.21059
YEL015W,YEL015W,0.222,3.07E-05,-0.171,0.0052925,0.275,0.032829
YNL050C,YNL050C,0.301,1.43E-05,-0.448,0.0031926,0.594,7.51E-04
YNR050C,LYS9,0.223,1.18E-05,-0.131,0.0089039,0.647,1.18E-07
YJR022W,LSM8,0.059,0.6011,-0.435,0.070701,0.294,0.14344
YOR167C,RPS28A,-0.374,2.73E-06,-0.239,1.05E-04,-0.243,4.86E-05
YER112W,LSM4,0.193,7.05E-05,-0.181,0.0037591,0.151,0.13653
YCL067C,ALPHA2,0.169,0.0012873,-0.085,0.11481,0.301,0.0027555
YBR112C,SSN6,0.108,0.009167,-0.004,0.92034,0.077,0.17771
YCR084C,TUP1,0.044,0.28551,0.704,1.83E-04,-0.091,0.69411
YIL061C,SNP1,0.165,0.013072,-0.635,4.90E-04,0.181,0.28119
YGR203W,YGR203W,-0.141,0.039575,-0.085,0.43554,-0.34,0.22451
YJL013C,MAD3,-0.072,0.14469,-0.154,0.046575,0.084,0.52778
YGL229C,SAP4,-0.521,2.37E-09,0.171,0.020857,-0.208,0.28721
YJL030W,MAD2,0.08,0.21701,-0.271,0.0092841,0.46,0.0045437
YGR014W,MSB2,-0.066,0.093717,-0.131,0.01294,-0.171,0.031836
YPL211W,NIP7,-0.231,0.0019352,-0.504,5.28E-06,0.623,1.56E-04
YGL044C,RNA15,0.162,0.0013639,-0.211,0.0040902,0.281,0.0057448
YOL123W,HRP1,0.245,9.84E-06,0.126,0.0050114,-0.036,0.59496
YAL003W,EFB1,-0.157,0.0018696,-0.2,6.28E-04,-0.146,0.013062
YFL017C,GNA1,0.131,0.0017854,0.122,0.0055302,0.124,0.050323
YDR429C,TIF35,0.078,0.072655,-0.209,0.0011724,0.354,1.66E-05
YMR146C,TIF34,-0.05,0.30844,-0.143,0.0085173,-0.151,0.072007
YLR293C,GSP1,-0.242,1.76E-05,-0.247,6.80E-04,-0.128,0.012703
YBR118W,TEF2,-0.074,0.053125,-0.063,0.15497,0.044,0.54556
YPR080W,TEF1,-0.138,9.87E-04,0.009,0.89728,-0.278,6.78E-04
YLR249W,YEF3,-0.39,2.71E-08,-0.394,0.04747,-0.769,0.035939
YOR204W,DED1,-0.033,0.39944,-0.056,0.31268,-0.91,8.35E-16
YGL097W,SRM1,0.16,0.0021913,-0.23,0.0022461,0.008,0.93826
YGR218W,CRM1,-0.018,0.61381,-0.001,0.9794,-0.018,0.80969
YGL122C,NAB2,0.174,8.73E-04,0.02,0.61707,0.187,0.0059966
