"Accession_ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"39"	"AACY020403290"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Deep 1"	"marine metagenome"	NA
"40"	"AACY020553861"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"SAR86 clade"	"marine metagenome"	NA
"41"	"AACY020555764"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"OCS116 clade"	"marine metagenome"	NA	NA
"42"	"AACY023939069"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"SAR324 clade(Marine group B)"	"marine metagenome"	NA	NA
"43"	"AACY024102418"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"AEGEAN-169 marine group"	"marine metagenome"
"44"	"AACY023936572"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"SAR116 clade"	"marine metagenome"	NA
"45"	"AACY023938893"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"NS9 marine group"	"marine metagenome"	NA
"46"	"AACY020487638"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"AEGEAN-169 marine group"	"marine metagenome"
"47"	"AACY020549891"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"SAR86 clade"	"marine metagenome"	NA
"48"	"AACY020555882"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmatales"	"Marine Group II"	"marine metagenome"	NA
"49"	"AACY020563509"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"SAR86 clade"	"marine metagenome"	NA
"50"	"AACY020564593"	"Bacteria"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"SAR406 clade(Marine group A)"	"marine metagenome"	NA
"51"	"AACY020565564"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Salinisphaerales"	"Salinisphaeraceae"	"ZD0417 marine group"	"marine metagenome"
"52"	"AACY023938218"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Pseudospirillum"	"marine metagenome"
"53"	"AANC01000011"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	"Leeuwenhoekiella"	"Leeuwenhoekiella blandensis MED217"
"54"	"AAMQ01000012"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	"Oceanicaulis"	"Oceanicaulis sp. HTCC2633"
"55"	"AANO01000009"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"Synechococcus sp. WH 5701"
"56"	"AB176372"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 1"	"uncultured bacterium"	NA
"57"	"AB183568"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionIII"	"FamilyI"	"Phormidium"	"Synechococcus sp. MBIC10598"
"58"	"AB193978"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmatales"	"Marine Group II"	"uncultured archaeon"	NA
"59"	"AB193901"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"S25-593"	"uncultured bacterium"	NA
"60"	"AB193903"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Deep 1"	"uncultured bacterium"	NA
"61"	"AB193879"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"uncultured bacterium"	NA	NA
"62"	"AB193916"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 1"	"uncultured bacterium"	NA
"63"	"AB193954"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Sulfurovum"	"uncultured bacterium"
"64"	"AB199888"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Phalacroma mitra"	NA	NA	NA
"65"	"AB355061"	"Bacteria"	"Planctomycetes"	"Planctomycetacia"	"Planctomycetales"	"Planctomycetaceae"	"uncultured"	"uncultured bacterium"
"66"	"AB355033"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured bacterium"
"67"	"AB610896"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"Synechococcus sp. NIBB 1071"
"68"	"AB600346"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmatales"	"Thermoplasmataceae"	"Thermoplasma"	"uncultured archaeon"
"69"	"AB722155"	"Bacteria"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"SAR406 clade(Marine group A)"	"uncultured bacterium"	NA
"70"	"AB758571"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Poseidonocella"	"Tropicibacter sp. SNM-13"
"71"	"AF107209"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Tateyamaria"	"Roseobacter sp. (Prionitis filiformis symbiont)"
"72"	"AF115271"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Prochlorococcus"	"Prochlorococcus marinus str. MIT 9215"
"73"	"AF172719"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Prymnesium polylepis"	NA	NA	NA
"74"	"AF406530"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"SAR86 clade"	"uncultured gamma proteobacterium"	NA
"75"	"AF382127"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Oceanobacter"	"uncultured bacterium"
"76"	"AF382133"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"SAR86 clade"	"uncultured bacterium"	NA
"77"	"AF406533"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"SAR86 clade"	"uncultured gamma proteobacterium"	NA
"78"	"AEUE01000008"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Erythrobacteraceae"	"Erythrobacter"	"Citromicrobium sp. JLT1363"
"79"	"AF001653"	"Bacteria"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"SAR406 clade(Marine group A)"	"uncultured eubacterium OCS146"	NA
"80"	"AF493690"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	"Formosa"	"Flavobacteriaceae bacterium SW325"
"81"	"AF098371"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"Synechococcus-like str. PENDANT"
"82"	"AFXB01000010"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"SAR116 clade"	"SAR116 cluster alpha proteobacterium HIMB100"	NA
"83"	"AF257277"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmatales"	"Marine Group II"	"uncultured marine euryarchaeote DH148-W1"	NA
"84"	"AHCG01000072"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmatales"	"Marine Group II"	"uncultured marine group II euryarchaeote"	NA
"85"	"AJ133625"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmatales"	"Marine Group II"	"uncultured archeon 'KTK 31A'"	NA
"86"	"AJ240914"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured gamma proteobacterium CHAB-IV-19"
"87"	"AF382130"	"Bacteria"	"Bacteroidetes"	"Flavobacteria"	"Flavobacteriales"	"Flavobacteriaceae"	"NS4 marine group"	"uncultured bacterium"
"88"	"AF468306"	"Bacteria"	"Proteobacteria"	"AEGEAN-245"	"uncultured bacterium"	NA	NA	NA
"89"	"AJ294340"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Erythrobacteraceae"	"Erythrobacter"	"Enterovibrio calviensis"
"90"	"AJ581349"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"OM182 clade"	"uncultured gamma proteobacterium"	NA
"91"	"AJ890099"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Magnetospira"	"alpha proteobacterium endosymbiont 1a of Inanidrilus leukodermatus"
"92"	"AJXC01007386"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmatales"	"Marine Group II"	"marine metagenome"	NA
"93"	"AJ567585"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured Alteromonadaceae bacterium"
"94"	"AJXC01019507"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 1"	"marine metagenome"	NA
"95"	"AM747321"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"uncultured marine bacterium"	NA	NA
"96"	"AM747329"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Leisingera"	"uncultured marine bacterium"
"97"	"AM941171"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Salinimonas"	"uncultured Alteromonas sp."
"98"	"AM945571"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Roseobacter clade AS-21 lineage"	"Rhodobacteraceae bacterium MOLA 341"
"99"	"AM709697"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ruegeria"	"Ruegeria sp. SOVto29"
"100"	"AM747314"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 2"	"uncultured marine bacterium"	NA
"101"	"AM747332"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"uncultured"	"uncultured marine bacterium"
"102"	"AM990657"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"Alteromonas sp. MOLA 380"
"103"	"AM990670"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"uncultured"	"Rhodobacteraceae bacterium MOLA 393"
"104"	"AM945668"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Halomonadaceae"	"Halomonas"	"Halomonas sp. MAN K22"
"105"	"AM945687"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Halomonadaceae"	"Halomonas"	"Halomonas alkaliphila"
"106"	"AM990930"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"OM60(NOR5) clade"	"uncultured bacterium"
"107"	"AM990938"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"OM60(NOR5) clade"	"uncultured bacterium"
"108"	"AM997961"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Magnetospira"	"uncultured deep-sea bacterium"
"109"	"AY033322"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"uncultured alpha proteobacterium MB21A02"	NA	NA
"110"	"AY162070"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Roseovarius"	"alpha proteobacterium GMD29C12"
"111"	"AY345469"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"bacterium K5"
"112"	"AY534100"	"Bacteria"	"Chloroflexi"	"SAR202 clade"	"uncultured Chloroflexi bacterium"	NA	NA	NA
"113"	"AY344429"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured bacterium"
"114"	"AY375126"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Idiomarinaceae"	"Pseudidiomarina"	"uncultured bacterium"
"115"	"AY592089"	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"Sva0996 marine group"	"uncultured bacterium"	NA
"116"	"AY534099"	"Bacteria"	"Chloroflexi"	"SAR202 clade"	"uncultured Chloroflexi bacterium"	NA	NA	NA
"117"	"AY663889"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Synechococcus sp."
"118"	"AY663906"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"OM60(NOR5) clade"	"uncultured gamma proteobacterium"
"119"	"AY663941"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Synechococcus sp."
"120"	"AY664004"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"SAR86 clade"	"uncultured gamma proteobacterium"	NA
"121"	"AY664012"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Synechococcus sp."
"122"	"AY664063"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"SAR116 clade"	"uncultured alpha proteobacterium"	NA
"123"	"AY664073"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 1"	"uncultured alpha proteobacterium"	NA
"124"	"AY664083"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 1"	"uncultured bacterium"	NA
"125"	"AY664090"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Prochlorococcus sp."
"126"	"AY664104"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 1"	"uncultured alpha proteobacterium"	NA
"127"	"AY664135"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Prochlorococcus sp."
"128"	"AY664138"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"uncultured phototrophic eukaryote"	NA	NA	NA
"129"	"AY664172"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured Alteromonas sp."
"130"	"AY664174"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured Alteromonas sp."
"131"	"AY664177"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Erythrobacteraceae"	"uncultured"	"uncultured Erythrobacter sp."
"132"	"AY664189"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Synechococcus sp."
"133"	"AY664192"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured Alteromonas sp."
"134"	"AY664234"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 1"	"uncultured alpha proteobacterium"	NA
"135"	"AY697876"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 1"	"uncultured alpha proteobacterium"	NA
"136"	"AY726830"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured gamma proteobacterium"
"137"	"AY726836"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured gamma proteobacterium"
"138"	"AY726876"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Deep 1"	"uncultured alpha proteobacterium"	NA
"139"	"AY726917"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 1"	"uncultured alpha proteobacterium"	NA
"140"	"AY726930"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 1"	"uncultured alpha proteobacterium"	NA
"141"	"AY726949"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Deep 1"	"uncultured alpha proteobacterium"	NA
"142"	"AY726955"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured gamma proteobacterium"
"143"	"AY726956"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 2"	"uncultured alpha proteobacterium"	NA
"144"	"AY726957"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Deep 1"	"uncultured alpha proteobacterium"	NA
"145"	"AY726967"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured Alteromonas sp."
"146"	"AY726969"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured gamma proteobacterium"
"147"	"AY727010"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured gamma proteobacterium"
"148"	"AY663886"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Synechococcus sp."
"149"	"AY663890"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Prochlorococcus sp."
"150"	"AY663904"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Synechococcus sp."
"151"	"AY663933"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 2"	"uncultured alpha proteobacterium"	NA
"152"	"AY663936"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Synechococcus sp."
"153"	"AY663945"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"uncultured phototrophic eukaryote"	NA	NA	NA
"154"	"AY663983"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Halomonadaceae"	"Halomonas"	"uncultured Halomonas sp."
"155"	"AY664000"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Synechococcus sp."
"156"	"AY664015"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 1"	"uncultured alpha proteobacterium"	NA
"157"	"AY664058"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Synechococcus sp."
"158"	"AY664061"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 1"	"uncultured alpha proteobacterium"	NA
"159"	"AY664087"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Prochlorococcus"	"uncultured Prochlorococcus sp."
"160"	"AY664094"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured Alteromonas sp."
"161"	"AY664173"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured gamma proteobacterium"
"162"	"AY664178"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Synechococcus sp."
"163"	"AY664200"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 2"	"uncultured alpha proteobacterium"	NA
"164"	"AY664211"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Prochlorococcus sp."
"165"	"AY664224"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11 clade"	"Surface 1"	"uncultured alpha proteobacterium"	NA
"166"	"AY704387"	"Bacteria"	"Chloroflexi"	"SAR202 clade"	"uncultured bacterium"	NA	NA	NA
"167"	"AY726843"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured gamma proteobacterium"
"168"	"AY726846"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"SubsectionI"	"FamilyI"	"Synechococcus"	"uncultured Synechococcus sp."
"169"	"AY726858"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"uncultured gamma proteobacterium"
