"first_sheet.Phage_id"	"first_sheet.Phage_id_network"	"phage_affiliation"	"Domain"	"DNA_or_RNA"	"Tax_order"	"Tax_subfamily"	"Tax_family"	"Tax_genus"	"Tax_species"
"18"	"109SUR_109962"	"ph_2413"	NA	NA	NA	NA	NA	NA	NA	NA
"19"	"109SUR_109995"	"ph_879"	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"109SUR_11859"	"ph_2635"	NA	NA	NA	NA	NA	NA	NA	NA
"21"	"109SUR_11859"	"ph_2635"	NA	NA	NA	NA	NA	NA	NA	NA
"22"	"109SUR_11862"	"ph_2229"	NA	NA	NA	NA	NA	NA	NA	NA
"23"	"109SUR_13151"	"ph_727"	NA	NA	NA	NA	NA	NA	NA	NA
"24"	"109SUR_13151"	"ph_727"	NA	NA	NA	NA	NA	NA	NA	NA
"25"	"109SUR_13151"	"ph_727"	NA	NA	NA	NA	NA	NA	NA	NA
"26"	"109SUR_13151"	"ph_727"	NA	NA	NA	NA	NA	NA	NA	NA
"27"	"109SUR_13151"	"ph_727"	NA	NA	NA	NA	NA	NA	NA	NA
"28"	"109SUR_14025"	"ph_2613"	NA	NA	NA	NA	NA	NA	NA	NA
"29"	"109SUR_14025"	"ph_2613"	NA	NA	NA	NA	NA	NA	NA	NA
"30"	"109SUR_14025"	"ph_2613"	NA	NA	NA	NA	NA	NA	NA	NA
"31"	"109SUR_14025"	"ph_2613"	NA	NA	NA	NA	NA	NA	NA	NA
"32"	"109SUR_14025"	"ph_2613"	NA	NA	NA	NA	NA	NA	NA	NA
"33"	"109SUR_15989"	"ph_1404"	NA	NA	NA	NA	NA	NA	NA	NA
"34"	"109SUR_15989"	"ph_1404"	NA	NA	NA	NA	NA	NA	NA	NA
"35"	"109SUR_15991"	"ph_2887"	NA	NA	NA	NA	NA	NA	NA	NA
"36"	"109SUR_17474"	"ph_623"	NA	NA	NA	NA	NA	NA	NA	NA
"37"	"109SUR_17474"	"ph_623"	NA	NA	NA	NA	NA	NA	NA	NA
"38"	"109SUR_18648"	"ph_1101"	NA	NA	NA	NA	NA	NA	NA	NA
"39"	"109SUR_19241"	"ph_1025"	NA	NA	NA	NA	NA	NA	NA	NA
"40"	"109SUR_19241"	"ph_1025"	NA	NA	NA	NA	NA	NA	NA	NA
"41"	"109SUR_19241"	"ph_1025"	NA	NA	NA	NA	NA	NA	NA	NA
"42"	"109SUR_22344"	"ph_6403"	NA	NA	NA	NA	NA	NA	NA	NA
"43"	"109SUR_22344"	"ph_6403"	NA	NA	NA	NA	NA	NA	NA	NA
"44"	"109SUR_4747"	"ph_5563"	NA	NA	NA	NA	NA	NA	NA	NA
"45"	"109SUR_53948"	"ph_986"	NA	NA	NA	NA	NA	NA	NA	NA
"46"	"109SUR_64309"	"ph_816"	NA	NA	NA	NA	NA	NA	NA	NA
"47"	"109SUR_67482"	"ph_2741"	NA	NA	NA	NA	NA	NA	NA	NA
"48"	"109SUR_67750"	"ph_1332"	NA	NA	NA	NA	NA	NA	NA	NA
"49"	"109SUR_67750"	"ph_1332"	NA	NA	NA	NA	NA	NA	NA	NA
"50"	"109SUR_8436"	"ph_1123"	NA	NA	NA	NA	NA	NA	NA	NA
"51"	"109SUR_8436"	"ph_1123"	NA	NA	NA	NA	NA	NA	NA	NA
"52"	"109SUR_8501"	"ph_878"	NA	NA	NA	NA	NA	NA	NA	NA
"53"	"109SUR_8669"	"ph_577"	"Puniceispirillum phage HMO-2011"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Podoviridae"	" unclassified Podoviridae"	NA	NA
"54"	"109SUR_9224"	"ph_1362"	NA	NA	NA	NA	NA	NA	NA	NA
"55"	"109SUR_9224"	"ph_1362"	NA	NA	NA	NA	NA	NA	NA	NA
"56"	"18DCM_14585"	"ph_9123"	NA	NA	NA	NA	NA	NA	NA	NA
"57"	"18DCM_15897"	"ph_1780"	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"18DCM_2433"	"ph_4645"	"Puniceispirillum phage HMO-2011"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Podoviridae"	" unclassified Podoviridae"	NA	NA
"59"	"18DCM_2433"	"ph_4645"	"Puniceispirillum phage HMO-2011"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Podoviridae"	" unclassified Podoviridae"	NA	NA
"60"	"18DCM_26408"	"ph_10919"	NA	NA	NA	NA	NA	NA	NA	NA
"61"	"18DCM_29784"	"ph_3653"	NA	NA	NA	NA	NA	NA	NA	NA
"62"	"18DCM_2992"	"ph_4942"	NA	NA	NA	NA	NA	NA	NA	NA
"63"	"18DCM_30280"	"ph_11763"	NA	NA	NA	NA	NA	NA	NA	NA
"64"	"18DCM_31582"	"ph_11933"	NA	NA	NA	NA	NA	NA	NA	NA
"65"	"18DCM_34093"	"ph_4404"	NA	NA	NA	NA	NA	NA	NA	NA
"66"	"18DCM_3944"	"ph_2315"	NA	NA	NA	NA	NA	NA	NA	NA
"67"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"68"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"69"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"70"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"71"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"72"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"73"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"74"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"75"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"76"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"77"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"78"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"79"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"80"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"81"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"82"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"83"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"84"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"85"	"18DCM_4453"	"ph_21654"	NA	NA	NA	NA	NA	NA	NA	NA
"86"	"18DCM_4584"	"ph_3362"	NA	NA	NA	NA	NA	NA	NA	NA
"87"	"18DCM_5742"	"ph_3196"	NA	NA	NA	NA	NA	NA	NA	NA
"88"	"18DCM_663"	"ph_3331"	NA	NA	NA	NA	NA	NA	NA	NA
"89"	"18DCM_7008"	"ph_4161"	NA	NA	NA	NA	NA	NA	NA	NA
"90"	"18DCM_7008"	"ph_4161"	NA	NA	NA	NA	NA	NA	NA	NA
"91"	"18DCM_7008"	"ph_4161"	NA	NA	NA	NA	NA	NA	NA	NA
"92"	"18DCM_9253"	"ph_17594"	NA	NA	NA	NA	NA	NA	NA	NA
"93"	"18SUR_12241"	"ph_9222"	NA	NA	NA	NA	NA	NA	NA	NA
"94"	"18SUR_13026"	"ph_3321"	NA	NA	NA	NA	NA	NA	NA	NA
"95"	"18SUR_13026"	"ph_3321"	NA	NA	NA	NA	NA	NA	NA	NA
"96"	"18SUR_13219"	"ph_2036"	"Puniceispirillum phage HMO-2011"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Podoviridae"	" unclassified Podoviridae"	NA	NA
"97"	"18SUR_13219"	"ph_2036"	"Puniceispirillum phage HMO-2011"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Podoviridae"	" unclassified Podoviridae"	NA	NA
"98"	"18SUR_14396"	"ph_8598"	NA	NA	NA	NA	NA	NA	NA	NA
"99"	"18SUR_14396"	"ph_8598"	NA	NA	NA	NA	NA	NA	NA	NA
"100"	"18SUR_14396"	"ph_8598"	NA	NA	NA	NA	NA	NA	NA	NA
"101"	"18SUR_14396"	"ph_8598"	NA	NA	NA	NA	NA	NA	NA	NA
"102"	"18SUR_1560"	"ph_6889"	NA	NA	NA	NA	NA	NA	NA	NA
"103"	"18SUR_16425"	"ph_2889"	NA	NA	NA	NA	NA	NA	NA	NA
"104"	"18SUR_20874"	"ph_3874"	NA	NA	NA	NA	NA	NA	NA	NA
"105"	"18SUR_20874"	"ph_3874"	NA	NA	NA	NA	NA	NA	NA	NA
"106"	"18SUR_20874"	"ph_3874"	NA	NA	NA	NA	NA	NA	NA	NA
"107"	"18SUR_20874"	"ph_3874"	NA	NA	NA	NA	NA	NA	NA	NA
"108"	"18SUR_21964"	"ph_2651"	NA	NA	NA	NA	NA	NA	NA	NA
"109"	"18SUR_21964"	"ph_2651"	NA	NA	NA	NA	NA	NA	NA	NA
"110"	"18SUR_23758"	"ph_4384"	NA	NA	NA	NA	NA	NA	NA	NA
"111"	"18SUR_23758"	"ph_4384"	NA	NA	NA	NA	NA	NA	NA	NA
"112"	"18SUR_28468"	"ph_1881"	NA	NA	NA	NA	NA	NA	NA	NA
"113"	"18SUR_28468"	"ph_1881"	NA	NA	NA	NA	NA	NA	NA	NA
"114"	"18SUR_28468"	"ph_1881"	NA	NA	NA	NA	NA	NA	NA	NA
"115"	"18SUR_28468"	"ph_1881"	NA	NA	NA	NA	NA	NA	NA	NA
"116"	"18SUR_28468"	"ph_1881"	NA	NA	NA	NA	NA	NA	NA	NA
"117"	"18SUR_28468"	"ph_1881"	NA	NA	NA	NA	NA	NA	NA	NA
"118"	"18SUR_29300"	"ph_4921"	NA	NA	NA	NA	NA	NA	NA	NA
"119"	"18SUR_30137"	"ph_1886"	NA	NA	NA	NA	NA	NA	NA	NA
"120"	"18SUR_30137"	"ph_1886"	NA	NA	NA	NA	NA	NA	NA	NA
"121"	"18SUR_30137"	"ph_1886"	NA	NA	NA	NA	NA	NA	NA	NA
"122"	"18SUR_30137"	"ph_1886"	NA	NA	NA	NA	NA	NA	NA	NA
"123"	"18SUR_30137"	"ph_1886"	NA	NA	NA	NA	NA	NA	NA	NA
"124"	"18SUR_30144"	"ph_4157"	NA	NA	NA	NA	NA	NA	NA	NA
"125"	"18SUR_30192"	"ph_2921"	NA	NA	NA	NA	NA	NA	NA	NA
"126"	"18SUR_30192"	"ph_2921"	NA	NA	NA	NA	NA	NA	NA	NA
"127"	"18SUR_3175"	"ph_2748"	"Pelagibacter phage HTVC010P"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Podoviridae"	" unclassified Podoviridae"	NA	NA
"128"	"18SUR_4880"	"ph_3164"	NA	NA	NA	NA	NA	NA	NA	NA
"129"	"18SUR_4880"	"ph_3164"	NA	NA	NA	NA	NA	NA	NA	NA
"130"	"18SUR_4880"	"ph_3164"	NA	NA	NA	NA	NA	NA	NA	NA
"131"	"18SUR_4880"	"ph_3164"	NA	NA	NA	NA	NA	NA	NA	NA
"132"	"18SUR_5688"	"ph_48"	NA	NA	NA	NA	NA	NA	NA	NA
"133"	"18SUR_5688"	"ph_48"	NA	NA	NA	NA	NA	NA	NA	NA
"134"	"18SUR_6465"	"ph_7398"	"Puniceispirillum phage HMO-2011"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Podoviridae"	" unclassified Podoviridae"	NA	NA
"135"	"22SUR_11221"	"ph_2338"	NA	NA	NA	NA	NA	NA	NA	NA
"136"	"22SUR_11420"	"ph_2539"	NA	NA	NA	NA	NA	NA	NA	NA
"137"	"22SUR_11420"	"ph_2539"	NA	NA	NA	NA	NA	NA	NA	NA
"138"	"22SUR_11420"	"ph_2539"	NA	NA	NA	NA	NA	NA	NA	NA
"139"	"22SUR_11420"	"ph_2539"	NA	NA	NA	NA	NA	NA	NA	NA
"140"	"22SUR_11420"	"ph_2539"	NA	NA	NA	NA	NA	NA	NA	NA
"141"	"22SUR_11420"	"ph_2539"	NA	NA	NA	NA	NA	NA	NA	NA
"142"	"22SUR_12422"	"ph_3529"	NA	NA	NA	NA	NA	NA	NA	NA
"143"	"22SUR_15028"	"ph_8554"	NA	NA	NA	NA	NA	NA	NA	NA
"144"	"22SUR_15028"	"ph_8554"	NA	NA	NA	NA	NA	NA	NA	NA
"145"	"22SUR_15028"	"ph_8554"	NA	NA	NA	NA	NA	NA	NA	NA
"146"	"22SUR_15125"	"ph_6812"	"Synechococcus phage S-SKS1"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Siphoviridae"	" unclassified Siphoviridae"	NA	NA
"147"	"22SUR_1636"	"ph_5195"	NA	NA	NA	NA	NA	NA	NA	NA
"148"	"22SUR_16452"	"ph_1438"	NA	NA	NA	NA	NA	NA	NA	NA
"149"	"22SUR_16452"	"ph_1438"	NA	NA	NA	NA	NA	NA	NA	NA
"150"	"22SUR_18720"	"ph_12075"	"Synechococcus phage S-SM2"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"151"	"22SUR_18720"	"ph_12075"	"Synechococcus phage S-SM2"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"152"	"22SUR_18720"	"ph_12075"	"Synechococcus phage S-SM2"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"153"	"22SUR_18720"	"ph_12075"	"Synechococcus phage S-SM2"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"154"	"22SUR_18720"	"ph_12075"	"Synechococcus phage S-SM2"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"155"	"22SUR_18720"	"ph_12075"	"Synechococcus phage S-SM2"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"156"	"22SUR_18720"	"ph_12075"	"Synechococcus phage S-SM2"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"157"	"22SUR_18720"	"ph_12075"	"Synechococcus phage S-SM2"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"158"	"22SUR_18720"	"ph_12075"	"Synechococcus phage S-SM2"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"159"	"22SUR_18775"	"ph_8008"	"unclassified"	NA	NA	NA	NA	NA	NA	NA
"160"	"22SUR_18775"	"ph_8008"	"unclassified"	NA	NA	NA	NA	NA	NA	NA
"161"	"22SUR_18775"	"ph_8008"	"unclassified"	NA	NA	NA	NA	NA	NA	NA
"162"	"22SUR_18775"	"ph_8008"	"unclassified"	NA	NA	NA	NA	NA	NA	NA
"163"	"22SUR_18987"	"ph_10154"	"unclassified"	NA	NA	NA	NA	NA	NA	NA
"164"	"22SUR_18987"	"ph_10154"	"unclassified"	NA	NA	NA	NA	NA	NA	NA
"165"	"22SUR_20795"	"ph_10091"	"Cyanophage PSS2"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Siphoviridae"	" unclassified Siphoviridae"	NA	NA
"166"	"22SUR_20795"	"ph_10091"	"Cyanophage PSS2"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Siphoviridae"	" unclassified Siphoviridae"	NA	NA
"167"	"22SUR_21183"	"ph_6890"	NA	NA	NA	NA	NA	NA	NA	NA
"168"	"22SUR_26394"	"ph_5204"	NA	NA	NA	NA	NA	NA	NA	NA
"169"	"22SUR_27097"	"ph_3368"	NA	NA	NA	NA	NA	NA	NA	NA
"170"	"22SUR_28050"	"ph_2775"	NA	NA	NA	NA	NA	NA	NA	NA
"171"	"22SUR_29274"	"ph_9249"	NA	NA	NA	NA	NA	NA	NA	NA
"172"	"22SUR_29274"	"ph_9249"	NA	NA	NA	NA	NA	NA	NA	NA
"173"	"22SUR_30657"	"ph_3156"	NA	NA	NA	NA	NA	NA	NA	NA
"174"	"22SUR_30657"	"ph_3156"	NA	NA	NA	NA	NA	NA	NA	NA
"175"	"22SUR_33214"	"ph_6020"	NA	NA	NA	NA	NA	NA	NA	NA
"176"	"22SUR_33249"	"ph_8022"	NA	NA	NA	NA	NA	NA	NA	NA
"177"	"22SUR_33737"	"ph_16076"	NA	NA	NA	NA	NA	NA	NA	NA
"178"	"22SUR_35328"	"ph_1496"	NA	NA	NA	NA	NA	NA	NA	NA
"179"	"22SUR_35387"	"ph_3370"	NA	NA	NA	NA	NA	NA	NA	NA
"180"	"22SUR_4001"	"ph_4393"	NA	NA	NA	NA	NA	NA	NA	NA
"181"	"22SUR_44165"	"ph_3319"	NA	NA	NA	NA	NA	NA	NA	NA
"182"	"22SUR_49772"	"ph_3674"	NA	NA	NA	NA	NA	NA	NA	NA
"183"	"22SUR_51034"	"ph_2789"	NA	NA	NA	NA	NA	NA	NA	NA
"184"	"22SUR_5138"	"ph_5209"	NA	NA	NA	NA	NA	NA	NA	NA
"185"	"22SUR_51487"	"ph_3320"	NA	NA	NA	NA	NA	NA	NA	NA
"186"	"22SUR_52214"	"ph_2517"	NA	NA	NA	NA	NA	NA	NA	NA
"187"	"22SUR_52214"	"ph_2517"	NA	NA	NA	NA	NA	NA	NA	NA
"188"	"22SUR_52214"	"ph_2517"	NA	NA	NA	NA	NA	NA	NA	NA
"189"	"22SUR_5925"	"ph_1402"	NA	NA	NA	NA	NA	NA	NA	NA
"190"	"22SUR_6450"	"ph_2255"	NA	NA	NA	NA	NA	NA	NA	NA
"191"	"22SUR_65337"	"ph_2784"	NA	NA	NA	NA	NA	NA	NA	NA
"192"	"22SUR_72032"	"ph_2520"	NA	NA	NA	NA	NA	NA	NA	NA
"193"	"22SUR_72032"	"ph_2520"	NA	NA	NA	NA	NA	NA	NA	NA
"194"	"22SUR_72032"	"ph_2520"	NA	NA	NA	NA	NA	NA	NA	NA
"195"	"22SUR_72032"	"ph_2520"	NA	NA	NA	NA	NA	NA	NA	NA
"196"	"22SUR_72032"	"ph_2520"	NA	NA	NA	NA	NA	NA	NA	NA
"197"	"22SUR_72032"	"ph_2520"	NA	NA	NA	NA	NA	NA	NA	NA
"198"	"22SUR_72032"	"ph_2520"	NA	NA	NA	NA	NA	NA	NA	NA
"199"	"22SUR_72032"	"ph_2520"	NA	NA	NA	NA	NA	NA	NA	NA
"200"	"22SUR_72032"	"ph_2520"	NA	NA	NA	NA	NA	NA	NA	NA
"201"	"22SUR_72032"	"ph_2520"	NA	NA	NA	NA	NA	NA	NA	NA
"202"	"22SUR_72032"	"ph_2520"	NA	NA	NA	NA	NA	NA	NA	NA
"203"	"22SUR_72032"	"ph_2520"	NA	NA	NA	NA	NA	NA	NA	NA
"204"	"22SUR_72032"	"ph_2520"	NA	NA	NA	NA	NA	NA	NA	NA
"205"	"22SUR_72032"	"ph_2520"	NA	NA	NA	NA	NA	NA	NA	NA
"206"	"22SUR_73177"	"ph_768"	NA	NA	NA	NA	NA	NA	NA	NA
"207"	"22SUR_8442"	"ph_4964"	"Pelagibacter phage HTVC008M"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"208"	"22SUR_8442"	"ph_4964"	"Pelagibacter phage HTVC008M"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"209"	"22SUR_8442"	"ph_4964"	"Pelagibacter phage HTVC008M"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"210"	"22SUR_8442"	"ph_4964"	"Pelagibacter phage HTVC008M"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"211"	"22SUR_8442"	"ph_4964"	"Pelagibacter phage HTVC008M"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"212"	"22SUR_8442"	"ph_4964"	"Pelagibacter phage HTVC008M"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"213"	"22SUR_8442"	"ph_4964"	"Pelagibacter phage HTVC008M"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"214"	"22SUR_8870"	"ph_8417"	NA	NA	NA	NA	NA	NA	NA	NA
"215"	"22SUR_9024"	"ph_3530"	NA	NA	NA	NA	NA	NA	NA	NA
"216"	"22SUR_9024"	"ph_3530"	NA	NA	NA	NA	NA	NA	NA	NA
"217"	"22SUR_9424"	"ph_2430"	NA	NA	NA	NA	NA	NA	NA	NA
"218"	"23DCM_10153"	"ph_4896"	"Cyanophage P-RSM6"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"219"	"23DCM_10154"	"ph_19893"	NA	NA	NA	NA	NA	NA	NA	NA
"220"	"23DCM_10154"	"ph_19893"	NA	NA	NA	NA	NA	NA	NA	NA
"221"	"23DCM_10658"	"ph_4389"	NA	NA	NA	NA	NA	NA	NA	NA
"222"	"23DCM_10658"	"ph_4389"	NA	NA	NA	NA	NA	NA	NA	NA
"223"	"23DCM_12862"	"ph_7798"	NA	NA	NA	NA	NA	NA	NA	NA
"224"	"23DCM_14631"	"ph_1376"	"Salicola phage CGphi29"	"Viruses"	" dsDNA viruses, no RNA stage"	" unclassified dsDNA phages"	NA	NA	NA	NA
"225"	"23DCM_14631"	"ph_1376"	"Salicola phage CGphi29"	"Viruses"	" dsDNA viruses, no RNA stage"	" unclassified dsDNA phages"	NA	NA	NA	NA
"226"	"23DCM_14631"	"ph_1376"	"Salicola phage CGphi29"	"Viruses"	" dsDNA viruses, no RNA stage"	" unclassified dsDNA phages"	NA	NA	NA	NA
"227"	"23DCM_17015"	"ph_11857"	NA	NA	NA	NA	NA	NA	NA	NA
"228"	"23DCM_184"	"ph_3336"	NA	NA	NA	NA	NA	NA	NA	NA
"229"	"23DCM_18413"	"ph_2105"	NA	NA	NA	NA	NA	NA	NA	NA
"230"	"23DCM_20334"	"ph_3066"	NA	NA	NA	NA	NA	NA	NA	NA
"231"	"23DCM_20334"	"ph_3066"	NA	NA	NA	NA	NA	NA	NA	NA
"232"	"23DCM_20334"	"ph_3066"	NA	NA	NA	NA	NA	NA	NA	NA
"233"	"23DCM_20521"	"ph_5625"	NA	NA	NA	NA	NA	NA	NA	NA
"234"	"23DCM_21595"	"ph_2911"	NA	NA	NA	NA	NA	NA	NA	NA
"235"	"23DCM_21709"	"ph_1908"	NA	NA	NA	NA	NA	NA	NA	NA
"236"	"23DCM_21709"	"ph_1908"	NA	NA	NA	NA	NA	NA	NA	NA
"237"	"23DCM_23530"	"ph_19737"	NA	NA	NA	NA	NA	NA	NA	NA
"238"	"23DCM_23530"	"ph_19737"	NA	NA	NA	NA	NA	NA	NA	NA
"239"	"23DCM_23752"	"ph_3528"	NA	NA	NA	NA	NA	NA	NA	NA
"240"	"23DCM_24378"	"ph_6441"	"Synechococcus phage S-SKS1"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Siphoviridae"	" unclassified Siphoviridae"	NA	NA
"241"	"23DCM_24378"	"ph_6441"	"Synechococcus phage S-SKS1"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Siphoviridae"	" unclassified Siphoviridae"	NA	NA
"242"	"23DCM_2649"	"ph_5667"	NA	NA	NA	NA	NA	NA	NA	NA
"243"	"23DCM_27526"	"ph_11838"	"Pelagibacter phage HTVC008M"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"244"	"23DCM_27526"	"ph_11838"	"Pelagibacter phage HTVC008M"	"Viruses"	" dsDNA viruses, no RNA stage"	" Caudovirales"	" Myoviridae"	" unclassified Myoviridae"	NA	NA
"245"	"23DCM_28454"	"ph_8606"	NA	NA	NA	NA	NA	NA	NA	NA
"246"	"23DCM_32006"	"ph_1561"	NA	NA	NA	NA	NA	NA	NA	NA
"247"	"23DCM_32006"	"ph_1561"	NA	NA	NA	NA	NA	NA	NA	NA
"248"	"23DCM_332"	"ph_3087"	NA	NA	NA	NA	NA	NA	NA	NA
"249"	"23DCM_34920"	"ph_2776"	NA	NA	NA	NA	NA	NA	NA	NA
"250"	"23DCM_34920"	"ph_2776"	NA	NA	NA	NA	NA	NA	NA	NA
"251"	"23DCM_34920"	"ph_2776"	NA	NA	NA	NA	NA	NA	NA	NA
"252"	"23DCM_34920"	"ph_2776"	NA	NA	NA	NA	NA	NA	NA	NA
"253"	"23DCM_44605"	"ph_7888"	NA	NA	NA	NA	NA	NA	NA	NA
"254"	"23DCM_44605"	"ph_7888"	NA	NA	NA	NA	NA	NA	NA	NA
"255"	"23DCM_4637"	"ph_276"	"unclassified"	NA	NA	NA	NA	NA	NA	NA
"256"	"23DCM_4637"	"ph_276"	"unclassified"	NA	NA	NA	NA	NA	NA	NA
"257"	"23DCM_4637"	"ph_276"	"unclassified"	NA	NA	NA	NA	NA	NA	NA
